ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K01370.01,CFRM,0.018845656673511294,2.2702,458.4,Neptune-like,Kepler-829 b,0.3466419811912226,4.163612064791963e-05,G,0,3.3607843137254902,0.8775209627519437
K01258.01,CFRM,0.09948666537987678,7.06,2828.4,Neptune-like,Kepler-281 c,0.3859338934169279,0.00013057481623312073,G,0,2.011764705882353,0.9851923369142288
K01258.02,CFRM,0.040098920136892535,5.688,593.5,Neptune-like,Kepler-281 b,0.3859338934169279,5.4693602271231706e-05,G,0,2.7215686274509805,0.9851923369142288
K01258.03,CFRM,0.4059466475017111,4.192,1707.4,Neptune-like,Kepler-281 d,0.3859338934169279,0.00010593805845328662,G,0,1.2588235294117647,0.9851923369142288
K00171.01,CFRM,0.016341475832991104,3.651,510.6,Neptune-like,Kepler-116 b,0.6282340188087774,8.031583036225916e-05,F,0,4.905882352941177,1.1265178638376219
K01325.01,CFRM,0.027475377987679673,3.4062,2829.7,Neptune-like,Kepler-818 b,0.3636684764890282,0.00010889446938686673,G,0,3.0823529411764707,0.9223728221199461
K01444.01,CFRM,0.12301347186858316,6.539,438.4,Neptune-like,Kepler-852 b,0.5081753981191223,6.134552687178691e-05,F,1,2.215686274509804,1.234589149455052
K01264.01,CFRM,0.038690631321013004,4.0136,1033.0,Neptune-like,Kepler-800 b,0.358866131661442,7.440300849509898e-05,G,0,2.6470588235294117,0.9043991180874834
K01329.01,CFRM,0.09089564818617385,5.022,1112.5,Neptune-like,Kepler-819 b,0.3841875862068965,7.021475967252718e-05,K,1,1.9019607843137254,0.8214513343277221
K01332.01,CFRM,0.05285644522929501,4.2902,709.1,Neptune-like,Kepler-288 c,0.6644698934169279,9.854703111933639e-05,G,0,3.196078431372549,1.0409881839931774
K00165.01,CFRM,0.036199188446269674,2.7884,876.5,Neptune-like,Kepler-478 b,0.34882486520376177,5.863548351600516e-05,G,0,2.5098039215686274,0.8388997282735057
K00156.03,CFRM,0.03224129314168378,2.8971,1430.8,Neptune-like,Kepler-114 d,0.23575147335423197,5.1244456182054926e-05,K,0,1.7490196078431373,0.561570149649364
K01273.01,CFRM,0.109675062587269,5.595,1239.4,Neptune-like,Kepler-802 b,0.3789486645768025,8.450407918483096e-05,G,0,1.9176470588235295,0.9652858621795285
K01332.03,CFRM,0.15506616837782342,6.172,589.7,Neptune-like,Kepler-288 d,0.6644698934169279,9.066326862978948e-05,G,0,2.235294117647059,1.0409881839931774
K00159.01,CFRM,0.024615704887063654,4.2447,469.7,Neptune-like,Kepler-115 c,0.5112314357366771,6.849018662793879e-05,G,0,3.764705882352941,1.0344995003467925
